directory,grid_limit_fraction_of_peak,ramp_limit_fraction_of_peak,configuration,method,window,status,replay_count,nominal_operating_cost_usd,mean_actual_operating_cost_usd,mean_batch_adjustment_mwh,mean_actual_curtailment_mwh,workload_violation_rate,workload_max_violation_mwh,grid_violation_rate,grid_max_violation_mw,ramp_violation_rate,ramp_max_violation_mw,physical_union_violation_rate,physical_union_max_violation_mw,solve_wall_time_seconds
grid_0p85_ramp_0p075_seed_20260903_det_tv_four_windows,0.85,0.075,deterministic,deterministic,2025-01-01,complete,100,15839.15355250949,15906.164454552629,50.043399265507766,0.06410110847368641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7611528000015824
grid_0p85_ramp_0p075_seed_20260903_det_tv_four_windows,0.85,0.075,deterministic,deterministic,2025-04-01,complete,100,15960.903942757059,16224.620228262469,53.72926105103934,0.07988001943751079,0.0,0.0,0.0,0.0,0.01,0.8947834827640335,0.01,0.8947834827640335,1.840681300000142
grid_0p85_ramp_0p075_seed_20260903_det_tv_four_windows,0.85,0.075,deterministic,deterministic,2025-07-01,complete,100,16160.731911542682,16400.605220855152,57.813856004235504,0.32345579174632677,0.0,0.0,0.06,0.20469943989974726,0.0,0.0,0.06,0.20469943989974726,1.8157068000000436
grid_0p85_ramp_0p075_seed_20260903_det_tv_four_windows,0.85,0.075,deterministic,deterministic,2025-10-01,complete,100,16841.570217725457,16934.699411521913,57.142499734638434,0.09255224036924034,0.0,0.0,0.04,0.6717776136010396,0.04,1.1380754029006155,0.06,1.1380754029006155,1.7904077000021061
grid_0p85_ramp_0p075_seed_20260903_det_tv_four_windows,0.85,0.075,tv_dro_rho_0p01,tv_dro,2025-01-01,complete,100,15839.153552509488,15907.778948993067,50.12388281319548,0.07885492438895078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.96970759999749
grid_0p85_ramp_0p075_seed_20260903_det_tv_four_windows,0.85,0.075,tv_dro_rho_0p01,tv_dro,2025-04-01,complete,100,15960.90394275705,16223.752367749146,54.43406010565509,0.04108723853953364,0.0,0.0,0.01,0.14709683246815164,0.01,0.9033834733734267,0.02,0.9033834733734267,73.66399190000084
grid_0p85_ramp_0p075_seed_20260903_det_tv_four_windows,0.85,0.075,tv_dro_rho_0p01,tv_dro,2025-07-01,complete,100,16160.731911542603,16375.356315897763,58.62218073910799,0.001356550884047705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.8522557000033
grid_0p85_ramp_0p075_seed_20260903_det_tv_four_windows,0.85,0.075,tv_dro_rho_0p01,tv_dro,2025-10-01,complete,100,16841.570217725468,16939.298524103775,54.39309206902706,0.034830984702906444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.57653410000057
grid_0p85_ramp_0p075_seed_20270117_det_tv_four_windows,0.85,0.075,deterministic,deterministic,2025-01-01,complete,100,15839.15355250949,15846.565661249499,50.240809267061984,0.060049081723153465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7695240000030026
grid_0p85_ramp_0p075_seed_20270117_det_tv_four_windows,0.85,0.075,deterministic,deterministic,2025-04-01,complete,100,15960.903942757059,16170.84910082685,53.249109919607776,0.07659831620449828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.110817100001441
grid_0p85_ramp_0p075_seed_20270117_det_tv_four_windows,0.85,0.075,deterministic,deterministic,2025-07-01,complete,100,16160.731911542682,16375.40036551715,58.092321317739746,0.31466921197130393,0.0,0.0,0.08,0.1828699057166714,0.01,0.7986772465179817,0.09,0.7986772465179817,1.7940958999970462
grid_0p85_ramp_0p075_seed_20270117_det_tv_four_windows,0.85,0.075,deterministic,deterministic,2025-10-01,complete,100,16841.570217725457,16910.54257799396,55.994551533128735,0.11225642662106976,0.0,0.0,0.02,0.021053477473058413,0.02,1.0213240274571573,0.04,1.0213240274571573,2.45066009999573
grid_0p85_ramp_0p075_seed_20270117_det_tv_four_windows,0.85,0.075,tv_dro_rho_0p01,tv_dro,2025-01-01,complete,100,15839.153552509488,15848.190825402147,50.278618566700786,0.0829515508923508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.46086670000659
grid_0p85_ramp_0p075_seed_20270117_det_tv_four_windows,0.85,0.075,tv_dro_rho_0p01,tv_dro,2025-04-01,complete,100,15960.90394275705,16170.789135156117,53.852388792144644,0.06991308922288644,0.0,0.0,0.02,0.052034770468540215,0.0,0.0,0.02,0.052034770468540215,77.4272512000025
grid_0p85_ramp_0p075_seed_20270117_det_tv_four_windows,0.85,0.075,tv_dro_rho_0p01,tv_dro,2025-07-01,complete,100,16160.731911542603,16356.05967202124,58.36530512772934,0.0016027632691692376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.86793700000271
grid_0p85_ramp_0p075_seed_20270117_det_tv_four_windows,0.85,0.075,tv_dro_rho_0p01,tv_dro,2025-10-01,complete,100,16841.570217725468,16910.356427697967,54.120916074276245,0.03381927881281836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.52247270000225
